Paradigm,threshold,diagnostic_aggressiveness,sensitivity,specificity,fp_rate,fn_rate,review_rate,clinical_burden
Conventional AI,0.8300000000000001,0.16999999999999993,0.9846153846153847,0.7564102564102564,0.24358974358974358,0.015384615384615385,0.011217948717948718,0.2859775641025641
Conventional AI,0.8400000000000001,0.15999999999999992,0.9846153846153847,0.7735042735042735,0.2264957264957265,0.015384615384615385,0.014423076923076924,0.27000534188034186
Conventional AI,0.8500000000000001,0.1499999999999999,0.982051282051282,0.7735042735042735,0.2264957264957265,0.017948717948717947,0.014423076923076924,0.27641559829059825
Conventional AI,0.86,0.14,0.982051282051282,0.7863247863247863,0.21367521367521367,0.017948717948717947,0.017628205128205128,0.2647168803418803
Conventional AI,0.87,0.13,0.9794871794871794,0.7948717948717948,0.20512820512820512,0.020512820512820513,0.020833333333333332,0.26370192307692303
Conventional AI,0.88,0.12,0.9794871794871794,0.8034188034188035,0.19658119658119658,0.020512820512820513,0.020833333333333332,0.2551549145299145
Conventional AI,0.89,0.10999999999999999,0.9769230769230769,0.8247863247863247,0.1752136752136752,0.023076923076923078,0.02403846153846154,0.24131944444444445
Conventional AI,0.9,0.09999999999999998,0.9692307692307692,0.8247863247863247,0.1752136752136752,0.03076923076923077,0.027243589743589744,0.26167200854700856
Conventional AI,0.91,0.08999999999999997,0.9692307692307692,0.8290598290598291,0.17094017094017094,0.03076923076923077,0.02403846153846154,0.25627670940170943
Conventional AI,0.9199999999999999,0.08000000000000007,0.9692307692307692,0.8418803418803419,0.1581196581196581,0.03076923076923077,0.02403846153846154,0.24345619658119658
Conventional AI,0.9299999999999999,0.07000000000000006,0.9666666666666667,0.8418803418803419,0.1581196581196581,0.03333333333333333,0.022435897435897436,0.24930555555555553
Conventional AI,0.94,0.06000000000000005,0.9615384615384616,0.8418803418803419,0.1581196581196581,0.038461538461538464,0.016025641025641024,0.2598824786324786
Conventional AI,0.95,0.050000000000000044,0.9512820512820512,0.8675213675213675,0.13247863247863248,0.04871794871794872,0.027243589743589744,0.2638087606837607
Conventional AI,0.96,0.040000000000000036,0.9435897435897436,0.8760683760683761,0.12393162393162394,0.05641025641025641,0.03365384615384615,0.2767361111111111
Conventional AI,0.97,0.030000000000000027,0.9230769230769231,0.8803418803418803,0.11965811965811966,0.07692307692307693,0.04326923076923077,0.32711004273504274
Conventional AI,0.98,0.020000000000000018,0.9128205128205128,0.8974358974358975,0.10256410256410256,0.08717948717948718,0.05448717948717949,0.3395833333333333
Conventional AI,0.99,0.010000000000000009,0.8743589743589744,0.9358974358974359,0.0641025641025641,0.12564102564102564,0.08974358974358974,0.4096153846153846
UVIF,0.5,0.5,0.9974358974358974,0.6367521367521367,0.36324786324786323,0.002564102564102564,0.011217948717948718,0.37358440170940166
UVIF,0.51,0.49,0.9974358974358974,0.6452991452991453,0.3547008547008547,0.002564102564102564,0.011217948717948718,0.36503739316239314
UVIF,0.52,0.48,0.9974358974358974,0.6495726495726496,0.3504273504273504,0.002564102564102564,0.011217948717948718,0.36076388888888883
UVIF,0.53,0.47,0.9974358974358974,0.6495726495726496,0.3504273504273504,0.002564102564102564,0.008012820512820512,0.35964209401709396
UVIF,0.54,0.45999999999999996,0.9974358974358974,0.6495726495726496,0.3504273504273504,0.002564102564102564,0.008012820512820512,0.35964209401709396
UVIF,0.55,0.44999999999999996,0.9974358974358974,0.6538461538461539,0.34615384615384615,0.002564102564102564,0.00641025641025641,0.35480769230769227
UVIF,0.56,0.43999999999999995,0.9974358974358974,0.6538461538461539,0.34615384615384615,0.002564102564102564,0.003205128205128205,0.3536858974358974
UVIF,0.5700000000000001,0.42999999999999994,0.9974358974358974,0.6581196581196581,0.3418803418803419,0.002564102564102564,0.003205128205128205,0.34941239316239314
