threshold,sensitivity,specificity,precision,f1_score,balanced_accuracy,false_negatives,false_positives,fn_rate,fp_rate,ece_at_model_level,uvif_threshold_utility
0.23,1.0,0.5042735042735043,0.7707509881422925,0.8705357142857143,0.7521367521367521,0,116,0.0,0.49572649572649574,0.320399845421959,0.6906487473177314
0.24000000000000002,1.0,0.5042735042735043,0.7707509881422925,0.8705357142857143,0.7521367521367521,0,116,0.0,0.49572649572649574,0.320399845421959,0.6906487473177314
0.25,1.0,0.5128205128205128,0.7738095238095238,0.87248322147651,0.7564102564102564,0,114,0.0,0.48717948717948717,0.320399845421959,0.6943911067378885
0.26,1.0,0.5170940170940171,0.7753479125248509,0.8734602463605823,0.7585470085470085,0,113,0.0,0.4829059829059829,0.320399845421959,0.696264145273525
0.27,1.0,0.5213675213675214,0.7768924302788844,0.874439461883408,0.7606837606837606,0,112,0.0,0.47863247863247865,0.320399845421959,0.6981384317607804
0.28,1.0,0.5256410256410257,0.7784431137724551,0.8754208754208754,0.7628205128205128,0,111,0.0,0.47435897435897434,0.320399845421959,0.7000139728111625
0.29000000000000004,0.9974358974358974,0.5299145299145299,0.779559118236473,0.875140607424072,0.7636752136752136,1,110,0.002564102564102564,0.4700854700854701,0.320399845421959,0.6999683931103047
0.3,0.9974358974358974,0.5299145299145299,0.779559118236473,0.875140607424072,0.7636752136752136,1,110,0.002564102564102564,0.4700854700854701,0.320399845421959,0.6999683931103047
0.31,0.9974358974358974,0.5299145299145299,0.779559118236473,0.875140607424072,0.7636752136752136,1,110,0.002564102564102564,0.4700854700854701,0.320399845421959,0.6999683931103047
0.32,0.9974358974358974,0.5299145299145299,0.779559118236473,0.875140607424072,0.7636752136752136,1,110,0.002564102564102564,0.4700854700854701,0.320399845421959,0.6999683931103047
0.33,0.9974358974358974,0.5299145299145299,0.779559118236473,0.875140607424072,0.7636752136752136,1,110,0.002564102564102564,0.4700854700854701,0.320399845421959,0.6999683931103047
0.34,0.9974358974358974,0.5299145299145299,0.779559118236473,0.875140607424072,0.7636752136752136,1,110,0.002564102564102564,0.4700854700854701,0.320399845421959,0.6999683931103047
0.35000000000000003,0.9974358974358974,0.5427350427350427,0.7842741935483871,0.8781038374717833,0.77008547008547,1,107,0.002564102564102564,0.45726495726495725,0.320399845421959,0.705607318401428
0.36000000000000004,0.9974358974358974,0.5470085470085471,0.7858585858585858,0.8790960451977401,0.7722222222222223,1,106,0.002564102564102564,0.452991452991453,0.320399845421959,0.7074895349025778
0.37,0.9974358974358974,0.5512820512820513,0.7874493927125507,0.8800904977375565,0.7743589743589744,1,105,0.002564102564102564,0.44871794871794873,0.320399845421959,0.7093730503073714
0.38,0.9974358974358974,0.5512820512820513,0.7874493927125507,0.8800904977375565,0.7743589743589744,1,105,0.002564102564102564,0.44871794871794873,0.320399845421959,0.7093730503073714
0.39,0.9974358974358974,0.5555555555555556,0.7890466531440162,0.8810872027180068,0.7764957264957265,1,104,0.002564102564102564,0.4444444444444444,0.320399845421959,0.7112578716148852
0.4,0.9974358974358974,0.5769230769230769,0.7971311475409836,0.8861047835990888,0.7871794871794872,1,99,0.002564102564102564,0.4230769230769231,0.320399845421959,0.7207018153852252
0.41000000000000003,0.9974358974358974,0.5811965811965812,0.7987679671457906,0.887115165336374,0.7893162393162394,1,98,0.002564102564102564,0.4188034188034188,0.320399845421959,0.7225946220822655
0.42000000000000004,0.9974358974358974,0.5854700854700855,0.8004115226337448,0.8881278538812786,0.7914529914529915,1,97,0.002564102564102564,0.41452991452991456,0.320399845421959,0.7244887851829208
0.43,0.9974358974358974,0.5897435897435898,0.8020618556701031,0.8891428571428571,0.7935897435897437,1,96,0.002564102564102564,0.41025641025641024,0.320399845421959,0.7263843121233379
